pH,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn
6.07,179027.5746,88649.43233,18534.77589,4431.082753,4522.769226,667.6712037,15274.7191,82.1042908,4015.597415,387.2287397,1099.857968,169.1189102,358.2605474,37.9,0.15,8,10,1.4,1.5,0.25,20,51,5,0.5,10,10,1,29,42,800,1.5,2,10,5,5,11,5,57
6.403,226705.9365,83621.55408,34901.33272,2429.948607,3377.001022,519.2998251,18097.22154,75.26226656,5454.020369,1006.794723,999.8708801,84.55945508,447.8256843,24.5,0.15,5,5,1.1,1.5,0.25,28,44,5,0.5,20,5,1,31,50,800,1.5,3,10,5,5,8,5,53
7.073,201464.4508,93941.93576,28116.90532,4002.268293,4703.679995,741.856893,16685.97032,88.94631503,4614.940312,929.3489753,1199.845056,84.55945508,358.2605474,30.4,0.15,3,5,1.4,1.5,0.25,23,48,5,0.5,10,10,0.5,32,51,600,1.5,3,10,5,5,15,5,44
6.62,189311.1428,84680.05477,38468.4028,3716.391987,4341.858457,593.4855144,15191.70432,82.1042908,4375.203153,697.0117315,1499.80632,84.55945508,358.2605474,32.4,0.15,8,10,1.4,1.5,0.25,24,44,5,0.5,10,10,1,35,45,900,1.5,4,10,5,5,18,5,61
6.633,173418.3555,85738.55545,18115.12059,4145.206447,4281.554867,667.6712037,15772.80776,75.26226656,3955.663125,387.2287397,1399.819232,169.1189102,358.2605474,39.5,0.2,5,10,1.6,1.5,0.25,31,65,5,0.5,10,10,1,35,69,800,1.5,2,10,5,5,10,5,54
5.046,118728.4698,53983.53491,39237.77086,5503.118904,3859.42974,1557.899475,6724.196994,82.1042908,3236.451648,1084.240471,3899.496432,84.55945508,268.6954106,54.8,0.2,26,10,1.5,1.5,0.9,20,87,10,0.5,20,10,4,52,148,1600,3,3,10,5,5,55,5,221
6.175,164069.6571,76476.67446,49799.09599,8790.69643,6512.787686,2151.38499,11290.00977,95.78833926,4495.071733,1006.794723,4199.457696,84.55945508,358.2605474,37.7,0.3,24,10,1.7,1.5,0.7,22,56,10,0.5,30,20,3,63,92,1500,1.5,6,10,5,5,57,5,154
6.227,148176.8698,72507.29689,50778.2917,8218.943817,5970.055379,2151.38499,10210.81766,88.94631503,4375.203153,1084.240471,4499.418961,84.55945508,358.2605474,41.5,0.2,24,10,1.8,1.5,0.8,23,59,10,0.5,30,20,4,62,103,1700,1.5,5,10,5,5,59,5,180
5.989,182299.619,86797.05614,51407.77465,7861.598434,7357.037941,3115.798951,13282.36443,95.78833926,5274.2175,1161.686219,4699.393137,169.1189102,358.2605474,31.9,0.15,60,10,1.5,1.5,0.8,22,54,10,1,30,40,3,61,36,1400,1.5,7,10,5,5,53,5,98
5.717,198659.8413,84415.42959,54555.18943,6146.340594,5427.323071,2967.427572,11622.06888,102.6303635,6353.034716,619.5659835,3599.535168,169.1189102,447.8256843,28.6,0.15,20,10,1.3,1.5,0.25,14,41,10,0.5,20,20,2,43,65,3500,1.5,5,10,5,5,48,5,84
8.048,330943.9238,55835.91111,31054.49244,18296.08363,1266.375383,1261.156718,14776.63043,61.5782181,3416.254517,1394.023463,899.8837921,42.27972754,806.0862317,6.58,0.2,4,5,0.25,1.5,0.7,8,30,5,0.5,10,5,0.5,24,28,300,1.5,4,10,5,5,13,5,257
8.075,224368.7619,69067.16967,28396.67552,64393.63808,4221.251278,4970.441183,10459.86199,102.6303635,4674.874602,774.4574794,1599.793408,84.55945508,626.955958,21,0.3,9,10,1.4,1.5,0.8,14,86,10,0.5,10,20,1,35,96,500,1.5,4,10,5,5,40,5,337
7.024,272514.5587,60863.78936,28886.27338,8218.943817,4040.340509,5489.741008,11622.06888,95.78833926,4495.071733,929.3489753,2299.703024,84.55945508,537.3908212,22.8,0.15,8,10,1,1.5,0.25,13,35,5,0.5,10,10,1,28,66,800,2,3,10,5,5,37,5,136
5.474,255686.9016,58217.53765,35460.87313,5288.711674,4341.858457,8160.425823,9048.610769,102.6303635,5334.15179,1006.794723,1899.754672,84.55945508,358.2605474,24.7,0.2,9,5,0.7,1.5,0.25,13,21,10,0.5,10,20,1,23,66,700,1.5,1,10,5,5,51,5,141
7.222,150514.0444,44457.02875,21682.19067,101486.0889,3377.001022,3635.098776,6475.15266,75.26226656,3655.991676,464.6744876,4199.457696,169.1189102,268.6954106,39,0.3,7,10,1.9,1.5,1.5,13,74,5,0.5,10,10,1,77,133,1200,1.5,1,10,5,5,33,5,342
9.008,182299.619,47632.53081,153873.6112,164378.8763,6030.358968,2967.427572,10791.9211,342.1012117,3596.057386,5421.202356,999.8708801,287.5021473,1791.302737,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,100,0,6000
10.175,159862.7428,52131.15872,7903.508212,262291.5114,8924.931273,2151.38499,3486.620663,27.36809693,4495.071733,1858.697951,399.948352,338.2378203,1433.04219,13.9,0.15,3,50,12.8,1.5,0.25,1,14,5,0.5,30,50,0.5,7,11,6000,2,11,10,5,10,10,5,36
10.589,170613.746,44139.47855,20283.33966,204401.5593,8140.984607,2299.756368,5561.990106,20.5260727,2637.10875,1936.143699,599.9225281,253.6783652,716.5210949,19,1.3,11,60,8.4,2,2.7,3,53,10,0.5,30,40,0.5,8,212,4300,16,7,10,5,5,12,5,503
9.516,181832.1841,35936.09824,7833.565661,200828.1054,8080.681017,2596.499126,4648.827551,41.0521454,2457.305881,1781.252203,499.9354401,253.6783652,985.2165054,20.7,0.3,7,40,8.6,1.5,0.6,36,30,5,0.5,20,40,0.5,6,71,2700,2,5,10,5,5,11,5,120
10.133,142567.6508,43927.77841,4826.035988,250141.7683,9769.181529,1186.971029,2407.428553,13.68404847,3356.320227,929.3489753,599.9225281,253.6783652,716.5210949,22.2,0.3,3,40,11.4,1.5,0.25,4,17,5,0.5,30,40,0.5,3,28,8100,1.5,8,10,5,5,5,5,46
8.79,200997.0159,31755.02054,181850.6314,121497.4303,6030.358968,3709.284465,13282.36443,68.42024233,1798.028693,2323.372438,999.8708801,211.3986377,806.0862317,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,100,0,2000
10.071,144437.3905,50067.08238,7833.565661,255859.2945,6693.698455,1483.713786,3652.650219,20.5260727,2996.714489,2091.035194,199.974176,253.6783652,806.0862317,19.65,0.7,5,40,9.7,1.5,0.9,2,22,5,0.5,30,60,0.5,6,100,4100,3,10,10,5,5,7,5,171
7.975,405733.5111,30273.11958,9582.129425,3644.92291,3015.179484,8457.16858,13531.40876,41.0521454,1917.897273,154.8914959,799.8967041,42.27972754,268.6954106,3.02,0.15,4,10,0.25,1.5,0.25,3,4,5,0.5,10,10,0.5,8,48,400,1.5,1,10,5,5,8,5,52
9.921,143502.5206,47579.60577,8393.106065,255144.6037,18513.20203,4302.769979,3569.635441,20.5260727,2936.780199,4491.853381,599.9225281,676.4756407,3045.214653,16.55,0.2,5,30,10.3,1.5,0.25,2,28,5,0.5,40,70,0.5,6,11,7000,1.5,15,10,5,5,18,5,24
8.85,221096.7174,53189.6594,27907.07767,95053.87197,8201.288197,5415.555319,15772.80776,95.78833926,3536.123096,1239.131967,1399.819232,169.1189102,626.955958,19.6,0.2,15,20,2.1,1.5,0.25,11,44,5,0.5,20,30,1,29,61,1600,3,5,10,5,5,25,5,88
7.701,215954.9333,88649.43233,53506.05117,34876.90941,7960.073838,8308.797202,23161.12298,191.5766785,8031.194829,2710.601178,3699.522256,84.55945508,447.8256843,15.8,0.2,60,10,1.1,1.5,0.25,31,97,5,0.5,20,40,1,60,14,500,5,15,10,5,5,39,5,57
8.295,260828.6857,43292.678,22381.61617,79688.02049,6633.394865,5934.855144,14444.57132,75.26226656,3056.648778,619.5659835,1399.819232,84.55945508,447.8256843,15.8,0.2,11,10,0.7,1.5,0.25,9,37,5,0.5,10,20,1,23,43,600,1.5,3,10,5,5,21,5,68
8.363,188376.273,63774.66625,25389.14585,147226.2979,7115.823583,2893.241883,8218.462992,75.26226656,2876.845909,2942.938422,1499.80632,253.6783652,3224.344927,18.6,0.5,8,20,5.8,1.5,1,4,32,5,0.5,20,40,1,10,158,2400,5,5,10,5,5,11,5,210
8.047,284200.4317,51760.68348,31474.14775,30874.64112,9045.538452,6602.526348,16602.95554,102.6303635,3056.648778,1239.131967,1599.793408,84.55945508,806.0862317,14.8,0.7,12,10,1.5,1.5,1.8,9,41,5,1,10,20,1,24,240,900,5,3,10,5,5,23,5,544
9.841,265970.4698,52342.85885,29515.75633,57389.66857,9769.181529,6528.340658,16353.91121,102.6303635,3056.648778,1239.131967,1299.832144,84.55945508,1343.477053,13.8,0.4,10,20,2.5,1.5,0.9,7,39,5,1,20,30,1,24,124,2300,3,4,10,5,5,26,5,215
10.294,246805.6381,53983.53491,25319.2033,85762.892,8683.716914,5341.36963,14444.57132,82.1042908,2936.780199,1394.023463,1099.857968,84.55945508,985.2165054,15.9,0.4,15,20,3.1,1.5,0.8,7,32,5,0.5,20,30,1,20,118,2400,5,5,10,5,5,20,5,202
10.797,92552.11428,25774.49167,4406.380684,316608.0096,6573.091275,1409.528097,2739.487664,20.5260727,719.2114773,1626.360707,199.974176,253.6783652,2955.649516,27.2,0.3,5,50,6.3,1.5,0.25,1,19,5,0.5,30,40,0.5,4,27,5800,1.5,7,10,5,5,7,5,46
9.019,251947.4222,44404.10372,27067.76706,87549.61892,10854.64614,5712.298076,12286.1871,82.1042908,2936.780199,2633.15543,1099.857968,253.6783652,2059.998148,14.95,0.8,12,20,4.5,1.5,1.5,6,42,5,2,20,40,1,18,211,3300,6,5,10,5,5,23,5,399
10.774,129479.473,37735.54941,7274.025257,278729.399,11216.46768,1706.270854,3071.546775,13.68404847,958.9486363,1936.143699,99.98708801,253.6783652,5194.777938,19.7,0.3,4,60,9.1,1.5,0.25,2,23,5,0.5,30,60,0.5,4,28,11800,1.5,10,10,5,5,5,5,51
10.66,153318.654,46679.88019,7833.565661,265864.9652,14111.03999,2077.1993,4067.724107,13.68404847,1258.620085,1781.252203,199.974176,338.2378203,4746.952253,15.05,0.3,6,70,11.4,1.5,0.25,1,17,5,0.5,40,80,0.5,5,74,7400,3,10,10,5,5,6,5,73
8.381,324399.8349,36782.89879,26648.11176,18867.83624,5487.626661,6379.96928,14278.54176,68.42024233,2697.04304,774.4574794,999.8708801,84.55945508,716.5210949,11.8,0.2,16,10,1.8,1.5,0.25,5,14,5,0.5,10,20,1,13,39,700,5,2,10,5,5,18,5,61
8.873,324399.8349,37947.24954,30005.35418,27086.78006,6754.002044,6899.269105,14029.49743,68.42024233,2816.911619,929.3489753,999.8708801,84.55945508,716.5210949,9.88,0.2,19,10,2,1.5,0.25,6,18,5,0.5,10,20,1,13,51,700,6,3,10,5,5,19,5,74
8.806,284667.8666,52660.40906,25039.4331,45096.98738,13930.12922,13353.42407,14444.57132,109.4723877,3056.648778,929.3489753,1699.780496,169.1189102,1343.477053,11.55,0.15,7,10,1.9,1.5,0.25,10,24,10,0.5,20,30,0.5,33,16,1100,1.5,3,10,5,5,31,5,46
10.346,203334.1905,43980.70344,14128.39521,162234.804,8201.288197,8605.539959,8052.433437,20.5260727,1138.751506,1239.131967,699.9096161,169.1189102,2866.084379,17.55,0.4,10,40,6.8,1.5,0.25,2,22,5,0.5,20,40,0.5,6,56,5300,4,6,10,5,5,7,5,58
9.966,134153.8222,47579.60577,7413.910358,260862.1298,12603.45024,1854.642233,2739.487664,13.68404847,1258.620085,1471.469211,199.974176,253.6783652,3134.77979,22,0.3,6,30,11.6,1.5,0.25,1,18,5,0.5,50,60,0.5,4,41,3500,3,12,10,5,5,4,5,51
9.451,140230.4762,43716.07827,9861.899627,212977.8485,11216.46768,1928.827922,4731.842329,20.5260727,1438.422955,1781.252203,699.9096161,253.6783652,4746.952253,25.4,0.7,9,60,9.4,1.5,0.5,2,27,5,1,30,60,0.5,7,91,3300,4,8,10,5,5,7,5,94
